year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,45,69948,134122,Shasta,Columbia Elementary,Redding School of the Arts,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1793,Directly funded,Y,K,12,587,160,27.30%,193,32.90%,585,160,27.40%,193,33.00%,Y
2017-2018,45,69948,6050181,Shasta,Columbia Elementary,Columbia Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,4,435,147,33.80%,172,39.50%,425,145,34.10%,169,39.80%,Y
2017-2018,45,69948,6117857,Shasta,Columbia Elementary,Mountain View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,8,331,77,23.30%,105,31.70%,331,77,23.30%,105,31.70%,Y
2017-2018,45,69955,111393,Shasta,Cottonwood Union Elementary,North Cottonwood,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,4,536,264,49.30%,317,59.10%,517,256,49.50%,307,59.40%,Y
2017-2018,45,69955,121640,Shasta,Cottonwood Union Elementary,Cottonwood Creek Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,1183,Directly funded,N,K,8,225,67,29.80%,75,33.30%,225,67,29.80%,75,33.30%,Y
2017-2018,45,69955,6050207,Shasta,Cottonwood Union Elementary,West Cottonwood Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,8,402,182,45.30%,211,52.50%,402,182,45.30%,211,52.50%,Y
2017-2018,45,69971,1,Shasta,Enterprise Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,20.00%,1,20.00%,5,1,20.00%,1,20.00%,Y
2017-2018,45,69971,135830,Shasta,Enterprise Elementary,PACE Academy Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1861,Locally funded,N,K,12,83,67,80.70%,73,88.00%,83,67,80.70%,73,88.00%,Y
2017-2018,45,69971,135848,Shasta,Enterprise Elementary,Redding Collegiate Academy,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1864,Locally funded,N,K,12,102,60,58.80%,67,65.70%,102,60,58.80%,67,65.70%,Y
2017-2018,45,69971,6050215,Shasta,Enterprise Elementary,Alta Mesa Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,272,217,79.80%,236,86.80%,267,213,79.80%,231,86.50%,Y
2017-2018,45,69971,6050223,Shasta,Enterprise Elementary,Lassen View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,425,304,71.50%,338,79.50%,420,302,71.90%,336,80.00%,Y
2017-2018,45,69971,6050231,Shasta,Enterprise Elementary,Mistletoe Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,617,361,58.50%,419,67.90%,609,355,58.30%,412,67.70%,Y
2017-2018,45,69971,6050249,Shasta,Enterprise Elementary,Parsons Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,559,424,75.80%,465,83.20%,559,424,75.80%,465,83.20%,Y
2017-2018,45,69971,6050256,Shasta,Enterprise Elementary,Rother Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,356,313,87.90%,327,91.90%,347,305,87.90%,318,91.60%,Y
2017-2018,45,69971,6050264,Shasta,Enterprise Elementary,Shasta Meadows Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,394,297,75.40%,320,81.20%,389,293,75.30%,316,81.20%,Y
2017-2018,45,69971,6111470,Shasta,Enterprise Elementary,Boulder Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,969,366,37.80%,462,47.70%,959,361,37.60%,454,47.30%,Y
2017-2018,45,69989,4530010,Shasta,Fall River Joint Unified,Mountain View High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,17,14,82.40%,15,88.20%,12,10,83.30%,11,91.70%,Y
2017-2018,45,69989,4530226,Shasta,Fall River Joint Unified,Soldier Mountain High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,13,8,61.50%,9,69.20%,8,6,75.00%,6,75.00%,Y
2017-2018,45,69989,4530234,Shasta,Fall River Joint Unified,Fall River Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,7,4,57.10%,4,57.10%,7,4,57.10%,4,57.10%,Y
2017-2018,45,69989,4530242,Shasta,Fall River Joint Unified,Burney Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,10,7,70.00%,8,80.00%,10,7,70.00%,8,80.00%,Y
2017-2018,45,69989,4531000,Shasta,Fall River Joint Unified,Burney Junior-Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,247,129,52.20%,139,56.30%,238,127,53.40%,136,57.10%,Y
2017-2018,45,69989,4533600,Shasta,Fall River Joint Unified,Fall River Junior-Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,243,95,39.10%,107,44.00%,236,92,39.00%,104,44.10%,Y
2017-2018,45,69989,6050272,Shasta,Fall River Joint Unified,Burney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,373,222,59.50%,242,64.90%,367,220,59.90%,240,65.40%,Y
2017-2018,45,69989,6050280,Shasta,Fall River Joint Unified,Fall River Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,298,155,52.00%,173,58.10%,296,154,52.00%,172,58.10%,Y
2017-2018,45,69989,6119390,Shasta,Fall River Joint Unified,Fall River Elementary Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,K,6,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,Y
2017-2018,45,69997,6050322,Shasta,French Gulch-Whiskeytown Elementary,French Gulch-Whiskeytown Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,29,19,65.50%,25,86.20%,29,19,65.50%,25,86.20%,Y
2017-2018,45,70003,6050330,Shasta,Grant Elementary,Grant Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,648,95,14.70%,109,16.80%,639,92,14.40%,106,16.60%,Y
2017-2018,45,70011,112656,Shasta,Happy Valley Union Elementary,Happy Valley Community Day,Elementary School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,K,8,5,5,100.00%,5,100.00%,5,5,100.00%,5,100.00%,Y
2017-2018,45,70011,6050348,Shasta,Happy Valley Union Elementary,Happy Valley Elementary,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,8,280,173,61.80%,192,68.60%,280,173,61.80%,192,68.60%,Y
2017-2018,45,70011,6097703,Shasta,Happy Valley Union Elementary,Happy Valley Primary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,242,158,65.30%,161,66.50%,213,142,66.70%,145,68.10%,Y
2017-2018,45,70029,6050355,Shasta,"Igo, Ono, Platina Union Elementary",Igo-Ono Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,40,26,65.00%,26,65.00%,40,26,65.00%,26,65.00%,Y
2017-2018,45,70037,6050389,Shasta,Indian Springs Elementary,Indian Springs Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,7,7,100.00%,7,100.00%,7,7,100.00%,7,100.00%,Y
2017-2018,45,70045,6050397,Shasta,Junction Elementary,Junction Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,272,60,22.10%,93,34.20%,259,58,22.40%,90,34.70%,Y
2017-2018,45,70052,6050405,Shasta,Millville Elementary,Millville Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,263,96,36.50%,110,41.80%,255,94,36.90%,108,42.40%,Y
2017-2018,45,70078,6050421,Shasta,North Cow Creek Elementary,North Cow Creek Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,264,63,23.90%,70,26.50%,257,62,24.10%,68,26.50%,Y
2017-2018,45,70086,6050439,Shasta,Oak Run Elementary,Oak Run Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,P,8,66,39,59.10%,48,72.70%,64,38,59.40%,47,73.40%,Y
2017-2018,45,70094,1,Shasta,Pacheco Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,50.00%,1,50.00%,2,1,50.00%,1,50.00%,Y
2017-2018,45,70094,6050447,Shasta,Pacheco Union Elementary,Pacheco Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,8,334,171,51.20%,193,57.80%,334,171,51.20%,193,57.80%,Y
2017-2018,45,70094,6050454,Shasta,Pacheco Union Elementary,Prairie Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,299,148,49.50%,174,58.20%,287,142,49.50%,168,58.50%,Y
2017-2018,45,70110,1,Shasta,Redding Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1,33.30%,1,33.30%,3,1,33.30%,1,33.30%,Y
2017-2018,45,70110,135889,Shasta,Redding Elementary,Stellar Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,490,Locally funded,N,K,12,226,70,31.00%,84,37.20%,226,70,31.00%,84,37.20%,Y
2017-2018,45,70110,6050462,Shasta,Redding Elementary,Bonny View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,249,147,59.00%,164,65.90%,244,145,59.40%,161,66.00%,Y
2017-2018,45,70110,6050470,Shasta,Redding Elementary,Cypress Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,191,159,83.20%,167,87.40%,185,154,83.20%,161,87.00%,Y
2017-2018,45,70110,6050488,Shasta,Redding Elementary,Juniper,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,204,160,78.40%,172,84.30%,203,159,78.30%,171,84.20%,Y
2017-2018,45,70110,6050512,Shasta,Redding Elementary,Manzanita Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,588,223,37.90%,253,43.00%,572,213,37.20%,243,42.50%,Y
2017-2018,45,70110,6050520,Shasta,Redding Elementary,Sequoia Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,8,631,347,55.00%,392,62.10%,631,347,55.00%,392,62.10%,Y
2017-2018,45,70110,6050538,Shasta,Redding Elementary,Sycamore Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,231,167,72.30%,178,77.10%,226,163,72.10%,174,77.00%,Y
2017-2018,45,70110,6101612,Shasta,Redding Elementary,Turtle Bay,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,892,487,54.60%,547,61.30%,879,479,54.50%,538,61.20%,Y
2017-2018,45,70110,6117147,Shasta,Redding Elementary,Redding Community Day,Elementary School District,District Community Day Schools,Community Day School,CEP,No ,N/A,N/A,N,1,8,12,10,83.30%,10,83.30%,12,10,83.30%,10,83.30%,Y
2017-2018,45,70110,6117931,Shasta,Redding Elementary,Monarch Learning Center,Elementary School District,Elementary Schools (Public),Traditional,N/A,Yes,307,Directly funded,Y,K,8,65,36,55.40%,36,55.40%,63,34,54.00%,34,54.00%,Y
2017-2018,45,70128,6050546,Shasta,Shasta Union Elementary,Shasta Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,156,71,45.50%,71,45.50%,153,69,45.10%,69,45.10%,Y
2017-2018,45,70136,1,Shasta,Shasta Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,16,41.00%,16,41.00%,34,16,47.10%,16,47.10%,Y
2017-2018,45,70136,106013,Shasta,Shasta Union High,University Preparatory,High School District,K-12 Schools (Public),Traditional,N/A,Yes,612,Directly funded,N,6,12,975,127,13.00%,158,16.20%,966,127,13.10%,157,16.30%,Y
2017-2018,45,70136,114132,Shasta,Shasta Union High,Shasta Plus,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,11,23,11,47.80%,11,47.80%,23,11,47.80%,11,47.80%,Y
2017-2018,45,70136,114231,Shasta,Shasta Union High,Foothill Plus,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,11,19,10,52.60%,11,57.90%,19,10,52.60%,11,57.90%,Y
2017-2018,45,70136,114249,Shasta,Shasta Union High,Enterprise Plus,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,11,25,16,64.00%,17,68.00%,25,16,64.00%,17,68.00%,Y
2017-2018,45,70136,4530044,Shasta,Shasta Union High,Foothill High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1339,319,23.80%,375,28.00%,1293,307,23.70%,361,27.90%,Y
2017-2018,45,70136,4530200,Shasta,Shasta Union High,Pioneer Continuation High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,171,109,63.70%,115,67.30%,153,98,64.10%,104,68.00%,Y
2017-2018,45,70136,4530218,Shasta,Shasta Union High,Freedom High,High School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,29,24,82.80%,27,93.10%,29,24,82.80%,27,93.10%,Y
2017-2018,45,70136,4530267,Shasta,Shasta Union High,Shasta Charter Academy,High School District,High Schools (Public),Traditional,N/A,Yes,256,Directly funded,N,9,12,241,73,30.30%,74,30.70%,225,68,30.20%,69,30.70%,Y
2017-2018,45,70136,4530309,Shasta,Shasta Union High,North State Independence High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,110,63,57.30%,65,59.10%,103,56,54.40%,58,56.30%,Y
2017-2018,45,70136,4532750,Shasta,Shasta Union High,Enterprise High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1188,578,48.70%,620,52.20%,1152,562,48.80%,602,52.30%,Y
2017-2018,45,70136,4537304,Shasta,Shasta Union High,Shasta High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1446,494,34.20%,540,37.30%,1417,485,34.20%,531,37.50%,Y
2017-2018,45,70169,129957,Shasta,Whitmore Union Elementary,Northern Summit Academy,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1649,Directly funded,Y,K,12,137,78,56.90%,89,65.00%,128,72,56.30%,83,64.80%,Y
2017-2018,45,70169,134031,Shasta,Whitmore Union Elementary,New Day Academy - Shasta,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1796,Directly funded,Y,K,12,459,156,34.00%,238,51.90%,448,151,33.70%,231,51.60%,Y
2017-2018,45,70169,136440,Shasta,Whitmore Union Elementary,Phoenix Charter Academy,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1900,Directly funded,Y,K,12,295,138,46.80%,183,62.00%,284,131,46.10%,175,61.60%,Y
2017-2018,45,70169,6050595,Shasta,Whitmore Union Elementary,Whitmore Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,35,17,48.60%,18,51.40%,35,17,48.60%,18,51.40%,Y
2017-2018,45,73700,6050413,Shasta,Mountain Union Elementary,Montgomery Creek Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,67,54,80.60%,59,88.10%,66,54,81.80%,59,89.40%,Y
2017-2018,45,75267,1,Shasta,Gateway Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,3,42.90%,3,42.90%,7,3,42.90%,3,42.90%,Y
2017-2018,45,75267,110221,Shasta,Gateway Unified,Shasta Lake,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,663,452,68.20%,509,76.80%,654,447,68.30%,504,77.10%,Y
2017-2018,45,75267,113407,Shasta,Gateway Unified,Rocky Point Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,849,Directly funded,Y,K,8,178,84,47.20%,102,57.30%,177,83,46.90%,101,57.10%,Y
2017-2018,45,75267,115568,Shasta,Gateway Unified,Great Partnership Special Education Consortium,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,8,75,17,22.70%,24,32.00%,73,17,23.30%,24,32.90%,Y
2017-2018,45,75267,4530077,Shasta,Gateway Unified,Mountain Lakes High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,50,38,76.00%,41,82.00%,45,34,75.60%,37,82.20%,Y
2017-2018,45,75267,4530101,Shasta,Gateway Unified,Gateway Educational Options,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,58,43,74.10%,46,79.30%,53,38,71.70%,41,77.40%,Y
2017-2018,45,75267,4530176,Shasta,Gateway Unified,Gateway Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,13,10,76.90%,11,84.60%,13,10,76.90%,11,84.60%,Y
2017-2018,45,75267,4531901,Shasta,Gateway Unified,Central Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,610,365,59.80%,413,67.70%,592,351,59.30%,398,67.20%,Y
2017-2018,45,75267,6050090,Shasta,Gateway Unified,Buckeye School of the Arts,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,609,453,74.40%,471,77.30%,587,438,74.60%,455,77.50%,Y
2017-2018,45,75267,6050579,Shasta,Gateway Unified,Grand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,239,202,84.50%,214,89.50%,233,197,84.50%,209,89.70%,Y
2017-2018,46,70177,4630034,Sierra,Sierra-Plumas Joint Unified,Sierra Pass (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,3,3,100.00%,3,100.00%,2,2,100.00%,2,100.00%,Y
2017-2018,46,70177,4632303,Sierra,Sierra-Plumas Joint Unified,Downieville Junior-Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,21,8,38.10%,11,52.40%,20,7,35.00%,10,50.00%,Y
2017-2018,46,70177,4634259,Sierra,Sierra-Plumas Joint Unified,Loyalton High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,157,54,34.40%,61,38.90%,153,53,34.60%,60,39.20%,Y
2017-2018,46,70177,6050611,Sierra,Sierra-Plumas Joint Unified,Downieville Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,27,16,59.30%,18,66.70%,27,16,59.30%,18,66.70%,Y
2017-2018,46,70177,6050629,Sierra,Sierra-Plumas Joint Unified,Loyalton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,199,86,43.20%,98,49.20%,196,85,43.40%,97,49.50%,Y
2017-2018,47,10470,117168,Siskiyou,Siskiyou County Office of Education,Golden Eagle Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,983,Directly funded,Y,K,12,495,296,59.80%,348,70.30%,478,287,60.00%,335,70.10%,Y
2017-2018,47,10470,4730032,Siskiyou,Siskiyou County Office of Education,J. Everett Barr Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,5,5,100.00%,5,100.00%,5,5,100.00%,5,100.00%,Y
2017-2018,47,10470,6069405,Siskiyou,Siskiyou County Office of Education,Siskiyou County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,95,40,42.10%,45,47.40%,92,40,43.50%,45,48.90%,Y
2017-2018,47,70185,6050652,Siskiyou,Big Springs Union Elementary,Big Springs Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,179,94,52.50%,103,57.50%,177,93,52.50%,102,57.60%,Y
2017-2018,47,70193,6050660,Siskiyou,Bogus Elementary,Bogus Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,13,11,84.60%,13,100.00%,13,11,84.60%,13,100.00%,Y
2017-2018,47,70201,6050678,Siskiyou,Butteville Union Elementary,Butteville Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,207,80,38.60%,99,47.80%,205,80,39.00%,99,48.30%,Y
